no,result,pdf_page,pdf_product_name,pdf_code,pdf_capacity,pdf_lot_text,pdf_quantity,pdf_line,db_page,db_lot_code,db_display_name,db_code,db_capacity,db_lot_text,db_quantity,db_line
1,??,1,安芸虎 純米,301,1800,R7北東半計1169/北1122 7/11 青P,1258,安芸虎 純米 301 1800 R7北東半計1169/北1122 7/11 青P 1258,1,OPEN-20260701-301-0001,安芸虎 純米 1800ml R7北東半計1169/北1122 7/11 青P,301,1800,R7北東半計1169/北1122 7/11 青P,1258,安芸虎 純米 301 1800 R7北東半計1169/北1122 7/11 青P 1258
2,??,1,安芸虎 純米,301,1800,*11BY扉.右奥 8/30 青P,49,301 1800 *11BY扉.右奥 8/30 青P 49,1,OPEN-20260701-301-0002,安芸虎 純米 1800ml *11BY扉.右奥 8/30 青P,301,1800,*11BY扉.右奥 8/30 青P,49,301 1800 *11BY扉.右奥 8/30 青P 49
3,??,1,安芸虎 純米,303,720,まだ後詰R7北東やや奥.計2398＝1列,2398,303 720 まだ後詰R7北東やや奥.計2398＝1列 2398,1,OPEN-20260701-303-0003,安芸虎 純米 720ml まだ後詰R7北東やや奥.計2398＝1列,303,720,まだ後詰R7北東やや奥.計2398＝1列,2398,303 720 まだ後詰R7北東やや奥.計2398＝1列 2398
4,??,1,安芸虎 純米,303,720,R7北東入口.計3424/北2列2400+980,3620,303 720 R7北東入口.計3424/北2列2400+980 3620,1,OPEN-20260701-303-0004,安芸虎 純米 720ml R7北東入口.計3424/北2列2400+980,303,720,R7北東入口.計3424/北2列2400+980,3620,303 720 R7北東入口.計3424/北2列2400+980 3620
5,??,1,安芸虎 純米,305,300,未後詰北東入口R7計2419＝5面*（4（,2419,305 300 未後詰北東入口R7計2419＝5面*（4（ 2419,1,OPEN-20260701-305-0005,安芸虎 純米 300ml 未後詰北東入口R7計2419＝5面*（4（,305,300,未後詰北東入口R7計2419＝5面*（4（,2419,305 300 未後詰北東入口R7計2419＝5面*（4（ 2419
6,??,1,安芸虎 純米,305,300,R7＃計145＝南東90+外55 7/11 （R,311,305 300 R7＃計145＝南東90+外55 7/11 （R 311,1,OPEN-20260701-305-0006,安芸虎 純米 300ml R7＃計145＝南東90+外55 7/11 （R,305,300,R7＃計145＝南東90+外55 7/11 （R,311,305 300 R7＃計145＝南東90+外55 7/11 （R 311
7,??,1,安芸虎 純米,305,300,*11BY扉.右手前のはし8/30 青P,2,305 300 *11BY扉.右手前のはし8/30 青P 2,1,OPEN-20260701-305-0007,安芸虎 純米 300ml *11BY扉.右手前のはし8/30 青P,305,300,*11BY扉.右手前のはし8/30 青P,2,305 300 *11BY扉.右手前のはし8/30 青P 2
8,??,2,安芸虎 純米吟醸,151,1800,R7南東計550＝8*6+5*6+4*2+5）*6+,561,151 1800 R7南東計550＝8*6+5*6+4*2+5）*6+ 561,2,OPEN-20260701-151-0008,安芸虎 純米吟醸 1800ml R7南東計550＝8*6+5*6+4*2+5）*6+,151,1800,R7南東計550＝8*6+5*6+4*2+5）*6+,561,151 1800 R7南東計550＝8*6+5*6+4*2+5）*6+ 561
9,??,2,安芸虎 純米吟醸,153,720,R6北東計2857/うち土95.7/11（R4朝（,2965,153 720 R6北東計2857/うち土95.7/11（R4朝（ 2965,2,OPEN-20260701-153-0009,安芸虎 純米吟醸 720ml R6北東計2857/うち土95.7/11（R4朝（,153,720,R6北東計2857/うち土95.7/11（R4朝（,2965,153 720 R6北東計2857/うち土95.7/11（R4朝（ 2965
10,??,2,安芸虎 純米吟醸,153,720,未R7北東角計10166＝9600+ 7/11（,10166,153 720 未R7北東角計10166＝9600+ 7/11（ 10166,2,OPEN-20260701-153-0010,安芸虎 純米吟醸 720ml 未R7北東角計10166＝9600+ 7/11（,153,720,未R7北東角計10166＝9600+ 7/11（,10166,153 720 未R7北東角計10166＝9600+ 7/11（ 10166
